,Team,Seed,Round 1,Round 2,Round 3,Round 4,Round 5
Heroic,Heroic,1,G2 - win,9INE - win,BIG - win,,
Cloud9,Cloud9,2,Eternal Fire - win,NIP - win,Spirit - win,,
Spirit,Spirit,3,Astralis - win,Vitality - win,Cloud9 - lose,9INE - win,
BIG,BIG,4,Monte - win,Ence - win,Heroic - lose,NIP - win,
Ence,Ence,5,iNation - win,BIG - lose,Monte - win,Vitality - win,
Vitality,Vitality,6,Aurora - win,Spirit - lose,Astralis - win,Ence - lose,NIP - win
NIP,NIP,7,Forze - win,Cloud9 - lose,Eternal Fire - win,Big - lose,Vitality - lose
9INE,9INE,8,Team 500 - win,Heroic - lose,G2 - win,Spirit - lose,Eternal Fire - win
G2,G2,9,Heroic - lose,Team 500 - win,9INE - lose,iNation - win,Monte - win
Eternal Fire,Eternal Fire,10,Cloud9 - lose,Forze - win,NIP - lose,Astralis - win,9INE - lose
Astralis,Astralis,11,Spirit - lose,Aurora - win,Vitality - lose,Eternal Fire - lose,
Monte,Monte,12,BIG - lose,iNation - win,Ence - lose,Aurora - win,G2 - lose
iNation,iNation,13,Ence - lose,Monte - lose,Team 500 - win,G2 - lose,
Aurora,Aurora,14,Vitality - lose,Astralis - lose,Forze - win,Monte - lose,
Forze,Forze,15,NIP - lose,Eternal Fire - lose,Aurora - lose,,
Team 500,Team 500,16,9INE - lose,G2 - lose,iNation - lose,,
