Team,Seed,Round 1,Round 2,Round 3,Round 4,Round 5
Heroic,1,Team 500 - win,9INE - win,BIG - win,,
Cloud9,2,Forze - win,NIP - win,Spirit - win,,
Spirit,3,Aurora - win,Vitality - win,Cloud9 - lose,Ence - win,
BIG,4,iNation - win,Ence - win,Heroic - lose,Vitality - win,
Ence,5,Monte - win,BIG - lose,G2 - win,Spirit - lose,9INE - win
Vitality,6,Astralis - win,Spirit - lose,Eternal Fire - win,BIG - lose,G2 - win
NIP,7,Eternal Fire - win,Cloud9 - lose,Astralis - win,9INE - win,
9INE,8,G2 - win,Heroic - lose,Monte - win,NIP - lose,Ence - lose
G2,9,9INE - lose,Team 500 - win,Ence - lose,Eternal Fire - win,Vitality - lose
Eternal Fire,10,NIP - lose,Forze - win,Vitality - lose,G2 - lose,
Astralis,11,Vitality - lose,Aurora - win,NIP - lose,iNation - win,Monte - win
Monte,12,Ence - lose,iNation - win,9INE - lose,Aurora - win,Astralis - lose
iNation,13,BIG - lose,Monte - lose,Team 500 - win,Astralis - lose,
Aurora,14,Spirit - lose,Astralis - lose,Forze - win,Monte - lose,
Forze,15,Cloud9 - lose,Eternal Fire - lose,Aurora - lose,,
Team 500,16,Heroic - lose,G2 - lose,iNation - lose,,
