,Team,Seed,Round 1,Round 2,Round 3,Round 4,Round 5
Team #5,Team #5,1,Team #15 - win,Team #9 - win,Team #3 - win,,
Team #8,Team #8,2,Team #9 - lose,Team #15 - win,Team #11 - lose,Team #10 - lose,
Team #1,Team #1,3,Team #13 - win,Team #11 - win,Team #2 - win,,
Team #2,Team #2,4,Team #10 - win,Team #4 - win,Team #1 - lose,Team #12 - win,
Team #3,Team #3,5,Team #14 - win,Team #6 - win,Team #5 - lose,Team #11 - win,
Team #6,Team #6,6,Team #12 - win,Team #3 - lose,Team #9 - win,Team #7 - lose,Team #10 - win
Team #7,Team #7,7,Team #11 - lose,Team #13 - win,Team #10 - win,Team #6 - win,
Team #4,Team #4,8,Team #16 - win,Team #2 - lose,Team #12 - lose,Team #9 - win,Team #11 - win
Team #16,Team #16,9,Team #4 - lose,Team #10 - lose,Team #15 - win,Team #14 - win,Team #12 - lose
Team #11,Team #11,10,Team #7 - win,Team #1 - lose,Team #8 - win,Team #3 - lose,Team #4 - lose
Team #12,Team #12,11,Team #6 - lose,Team #14 - win,Team #4 - win,Team #2 - lose,Team #16 - win
Team #14,Team #14,12,Team #3 - lose,Team #12 - lose,Team #13 - win,Team #16 - lose,
Team #10,Team #10,13,Team #2 - lose,Team #16 - win,Team #7 - lose,Team #8 - win,Team #6 - lose
Team #13,Team #13,14,Team #1 - lose,Team #7 - lose,Team #14 - lose,,
Team #9,Team #9,15,Team #8 - win,Team #5 - lose,Team #6 - lose,Team #4 - lose,
Team #15,Team #15,16,Team #5 - lose,Team #8 - lose,Team #16 - lose,,
